# LUCIA Four Log File
# Date: 2025-12-15 23:57:22
# Format: START ligne = config démarrage, DATA lignes = données en temps réel
#
=== LUCIA START ===
PID: Kp=2.50 Ki=0.03
Time(ms), Temp(C), Target(C), P, I, Power(%), Error(C)
---
>>> PROGRAMME DEMARRE <<<
Temperature initiale: 515.9C
Phase detectee: 2
PID: Kp=2.50 Ki=0.03 maxDelta=10C
=== PROGRAMME DE CUISSON ===
Phase 1: 201C/h -> 100C, palier 5 min
Phase 2: 600C/h -> 600C, palier 10 min
Phase 3: 600C/h -> 1200C, palier 10 min
Refroidissement: 230C/h -> 210C
============================
---
7862, 515.9, 600.0, 0.0, 0.0, 0, 0.0
12874, 515.7, 516.7, 2.6, 0.0, 2, 1.0
17972, 515.3, 517.6, 5.2, 0.0, 5, 2.1
23067, 514.8, 518.4, 8.2, 0.1, 8, 3.3
28200, 514.6, 519.3, 11.3, 0.1, 11, 4.5
33230, 514.5, 520.1, 14.0, 0.2, 14, 5.6
38263, 514.3, 521.0, 16.0, 0.3, 16, 6.4
43296, 514.4, 521.8, 18.5, 0.4, 18, 7.4
48324, 514.3, 522.6, 20.1, 0.5, 20, 8.0
53350, 514.5, 523.5, 22.0, 0.7, 22, 8.8
58375, 514.7, 524.3, 23.7, 0.8, 24, 9.5
63401, 515.1, 525.2, 24.7, 0.9, 25, 9.9
68426, 515.6, 526.0, 25.5, 1.1, 26, 10.2
73453, 516.2, 526.8, 26.5, 1.3, 27, 10.6
78478, 516.9, 527.7, 26.7, 1.4, 28, 10.7
83500, 517.6, 528.5, 27.4, 1.6, 28, 11.0
88521, 518.5, 529.3, 27.1, 1.7, 28, 10.9
93544, 519.4, 530.2, 26.8, 1.9, 28, 10.7
98566, 520.4, 531.0, 26.6, 2.1, 28, 10.6
103589, 521.4, 531.9, 26.0, 2.2, 28, 10.4
108611, 522.5, 532.7, 25.6, 2.4, 27, 10.2
113636, 523.7, 533.5, 24.9, 2.5, 27, 10.0
118666, 524.7, 534.4, 24.1, 2.7, 26, 9.6
123691, 525.8, 535.2, 23.7, 2.8, 26, 9.5
128714, 527.0, 536.0, 22.7, 2.9, 25, 9.1
133739, 528.2, 536.9, 22.0, 3.1, 25, 8.8
138767, 529.2, 537.7, 21.2, 3.2, 24, 8.5
143791, 530.4, 538.6, 20.5, 3.3, 23, 8.2
148815, 531.4, 539.4, 19.9, 3.5, 23, 8.0
153837, 532.6, 540.2, 19.2, 3.6, 22, 7.7
158862, 533.6, 541.1, 18.9, 3.7, 22, 7.6
163891, 534.6, 541.9, 18.3, 3.8, 22, 7.3
168919, 535.6, 542.7, 17.8, 3.9, 21, 7.1
173948, 536.6, 543.6, 17.5, 4.0, 21, 7.0
178983, 537.5, 544.4, 17.5, 4.1, 21, 7.0
184014, 538.4, 545.3, 17.2, 4.2, 21, 6.9
189046, 539.3, 546.1, 16.9, 4.3, 21, 6.8
194080, 540.0, 546.9, 17.4, 4.5, 21, 7.0
199114, 540.9, 547.8, 17.2, 4.5, 21, 6.9
204146, 541.7, 548.6, 17.4, 4.7, 22, 7.0
209175, 542.5, 549.5, 17.0, 4.7, 21, 6.8
214200, 543.3, 550.3, 17.6, 4.9, 22, 7.0
219228, 544.1, 551.1, 17.8, 5.0, 22, 7.1
<<< PROGRAMME ARRETE >>>
Temperature finale: 544.7C
---
