# LUCIA Four Log File
# Date: 2025-12-15 01:32:42
# Format: START ligne = config démarrage, DATA lignes = données en temps réel
#
=== LUCIA START ===
PID: Kp=4.00 Ki=0.60 Kd=0.00
Time(ms), Temp(C), Target(C), P, I, D, Power(%)
---
>>> PROGRAMME DEMARRE <<<
Temperature initiale: 16.8C
PID: Kp=4.00 Ki=0.60 Kd=0.00
Phase detectee: 1
---
5129, 16.9, 16.8, 0.0, 0.0, 0.0, 0
10162, 16.8, 16.8, -0.7, -0.3, 0.0, 0
15242, 16.8, 17.8, 3.6, 2.1, 0.0, 5
20244, 16.8, 18.8, 7.3, 7.5, 0.0, 14
25265, 16.9, 19.8, 11.3, 15.5, 0.0, 26
30282, 17.0, 20.8, 16.3, 24.4, 0.0, 40
35301, 16.8, 21.8, 20.0, 37.5, 0.0, 57
40314, 16.8, 22.8, 23.6, 53.8, 0.0, 77
45329, 16.8, 23.8, 27.6, 73.0, 0.0, 100
50415, 16.8, 23.8, 27.6, 90.9, 0.0, 100
55498, 16.8, 24.8, 32.3, 100.0, 0.0, 100
60582, 16.8, 25.8, 36.3, 100.0, 0.0, 100
65667, 16.8, 26.8, 40.3, 100.0, 0.0, 100
70750, 16.8, 27.8, 44.3, 100.0, 0.0, 100
75834, 16.8, 28.8, 48.3, 100.0, 0.0, 100
80918, 16.8, 29.8, 52.3, 100.0, 0.0, 100
86001, 16.8, 30.8, 56.0, 100.0, 0.0, 100
91086, 16.7, 31.8, 56.0, 100.0, 0.0, 100
96169, 16.8, 31.8, 60.3, 100.0, 0.0, 100
101256, 21.8, 32.8, 49.6, 100.0, 0.0, 100
106358, 28.5, 33.8, 23.5, 100.0, 0.0, 100
111491, 30.1, 34.8, 20.1, 100.0, 0.0, 100
116623, 30.9, 35.8, 19.9, 100.0, 0.0, 100
121752, 32.5, 36.8, 18.2, 100.0, 0.0, 100
126879, 33.2, 37.8, 19.0, 100.0, 0.0, 100
132005, 31.8, 38.8, 26.5, 100.0, 0.0, 100
137139, 29.6, 39.8, 39.4, 100.0, 0.0, 100
142273, 28.7, 40.8, 45.2, 100.0, 0.0, 100
147407, 27.5, 40.8, 53.4, 100.0, 0.0, 100
152540, 26.5, 41.8, 60.0, 100.0, 0.0, 100
157665, 25.9, 42.8, 67.6, 100.0, 0.0, 100
162750, 25.4, 43.8, 74.5, 100.0, 0.0, 100
167835, 24.7, 44.8, 80.1, 100.0, 0.0, 100
172920, 24.2, 45.8, 86.1, 100.0, 0.0, 100
178007, 23.8, 46.8, 92.1, 100.0, 0.0, 100
183092, 23.3, 47.8, 98.0, 100.0, 0.0, 100
188171, 22.9, 48.8, 103.7, 100.0, 0.0, 100
193252, 22.6, 48.8, 104.3, 100.0, 0.0, 100
198329, 22.3, 49.8, 109.3, 100.0, 0.0, 100
203408, 22.2, 50.8, 115.0, 100.0, 0.0, 100
208485, 21.9, 51.8, 119.3, 100.0, 0.0, 100
213561, 21.7, 52.8, 124.6, 100.0, 0.0, 100
218639, 21.4, 53.8, 129.3, 100.0, 0.0, 100
223721, 21.5, 54.8, 133.6, 100.0, 0.0, 100
228802, 21.2, 55.8, 138.0, 100.0, 0.0, 100
233883, 21.3, 56.8, 139.0, 100.0, 0.0, 100
238966, 20.9, 56.8, 143.6, 100.0, 0.0, 100
